word,percentage_known,Prevalence,concreteness,AoA,valence,arousal,dominance
concern,0.99,2.26,1.70,6.00,5.05,4.70,5.55
concerned,1.00,2.43,1.86,6.00,4.61,3.95,4.61
concert,1.00,2.34,4.35,4.00,7.00,5.17,5.40
concerto,0.92,1.37,3.75,6.00,5.70,3.14,5.67
concession,1.00,2.44,2.71,8.00,5.32,3.71,5.80
conch,0.92,1.40,4.52,14.00,5.37,3.48,5.14
concierge,0.97,1.87,3.89,14.00,5.35,3.39,5.07
concise,0.99,2.10,1.88,12.00,5.47,3.30,5.47
conclude,1.00,2.44,1.78,6.00,4.81,2.57,5.85
conclusion,1.00,2.44,2.11,6.00,4.80,3.95,6.63
conclusive,1.00,2.45,1.52,6.00,5.32,3.92,6.79
concoction,0.98,1.98,3.50,10.00,5.52,4.16,5.63
concourse,0.96,1.65,3.96,12.00,4.90,3.71,5.20
concrete,0.99,2.26,4.59,4.00,4.82,3.63,5.90
concubine,0.95,1.60,3.36,14.00,3.53,5.33,4.91
concur,0.99,2.17,2.08,12.00,6.00,3.60,5.29
concussion,0.99,2.26,3.19,6.00,3.45,3.96,3.74
condemn,0.97,1.87,1.96,6.00,2.62,5.33,4.17
condemnation,0.99,2.25,2.04,6.00,3.15,4.10,3.18
condition,0.99,2.32,2.15,6.00,4.32,4.15,6.53
condom,0.99,2.32,4.87,12.00,5.44,5.38,6.26
condone,0.99,2.07,1.79,12.00,5.10,3.57,5.48
condor,0.92,1.36,4.46,8.00,4.76,3.55,6.06
conducive,0.96,1.73,2.61,12.00,5.39,3.85,5.78
conduct,1.00,2.45,2.08,6.00,5.21,3.64,6.12
conductor,0.99,2.13,4.26,2.00,5.50,4.24,5.47
conduit,0.97,1.79,3.58,13.00,4.50,3.48,5.48
cone,0.98,2.05,4.86,2.00,6.10,3.36,5.72
confederacy,0.98,1.92,2.79,6.00,4.15,3.75,3.90
confederate,0.99,2.20,3.27,6.00,4.50,3.95,5.28
confer,0.93,1.46,2.35,6.00,5.09,2.48,4.76
conference,1.00,2.34,3.86,6.00,5.10,2.95,4.88
confess,1.00,2.44,2.57,4.00,4.85,4.67,5.53
confession,1.00,2.58,2.40,4.00,5.47,4.59,5.18
confessional,1.00,2.44,2.77,13.00,4.62,4.35,4.43
confetti,0.99,2.17,4.93,6.00,6.26,5.57,5.57
confidant,0.96,1.75,3.03,13.00,7.15,4.25,6.82
confide,0.99,2.20,1.81,8.00,6.21,3.43,6.42
confidence,0.99,2.33,2.17,6.00,6.71,4.04,6.50
confident,1.00,2.45,2.62,8.00,7.56,4.62,7.04
confidential,1.00,2.44,2.08,8.00,6.05,4.50,5.00
configuration,1.00,2.43,2.54,14.00,4.58,3.45,5.45
confine,0.99,2.06,3.07,8.00,3.00,3.96,3.83
confinement,0.99,2.18,3.61,8.00,4.05,4.83,2.46
confirm,0.99,2.18,2.15,8.00,5.76,3.38,6.56
confirmation,0.99,2.32,2.39,10.00,5.71,3.83,5.55
confiscate,0.98,1.94,3.13,12.00,3.59,5.68,4.24
conflict,1.00,2.58,2.21,8.00,3.05,5.41,4.11
conform,0.98,2.01,1.83,12.00,4.78,3.90,3.67
confound,0.97,1.82,2.22,13.00,3.85,4.38,4.88
confront,0.99,2.20,2.43,10.00,4.59,6.11,5.90
confrontation,1.00,2.43,2.53,10.00,2.57,5.16,4.17
confuse,1.00,2.58,2.04,4.00,4.50,3.95,4.39
confusion,1.00,2.33,2.24,6.00,3.32,4.64,3.08
congenital,0.95,1.63,2.32,14.00,4.11,4.13,3.58
congestion,0.99,2.11,3.61,10.00,3.25,4.24,3.40
conglomerate,0.94,1.56,2.52,10.00,5.00,4.68,4.63
congratulate,0.99,2.32,3.04,6.00,6.33,4.77,7.00
congratulations,1.00,2.58,2.44,6.00,7.33,5.55,6.72
congregation,0.99,2.20,4.15,6.00,5.16,3.20,5.00
congress,1.00,2.43,3.90,10.00,3.55,3.61,3.48
congressional,0.98,2.03,2.22,8.00,4.29,3.82,4.05
congressman,0.99,2.25,4.58,6.00,3.71,4.09,3.67
conjecture,0.98,1.95,1.75,14.00,4.71,3.64,4.67
conjugal,0.91,1.34,2.32,14.00,4.84,4.72,5.47
conjunction,0.99,2.19,2.15,6.00,5.19,4.25,5.55
conjure,0.99,2.24,2.30,13.00,5.05,4.57,5.27
connect,1.00,2.43,2.88,2.00,6.61,3.47,5.96
connection,0.99,2.31,3.00,4.00,6.00,4.45,7.21
connoisseur,0.97,1.76,2.70,13.00,5.85,3.68,6.53
conquer,0.99,2.16,2.90,6.00,4.29,5.23,5.67
conqueror,1.00,2.35,3.54,6.00,5.10,5.28,5.95
conquest,0.99,2.33,2.54,8.00,5.90,5.67,6.09
conscience,1.00,2.34,1.96,6.00,5.90,3.95,5.41
conscientious,0.98,1.93,1.88,12.00,6.05,3.00,6.54
conscious,0.99,2.17,2.03,6.00,5.53,4.30,6.05
consciousness,0.99,2.06,2.32,8.00,6.48,3.33,7.37
consecutive,1.00,2.34,2.48,8.00,4.75,3.11,5.29
consensual,0.98,2.04,2.62,14.00,6.30,5.24,6.54
consensus,0.98,1.91,2.32,12.00,5.74,3.00,5.38
consent,1.00,2.33,2.08,6.00,6.42,3.88,6.58
consequence,0.99,2.32,2.64,8.00,3.86,4.31,4.67
conservation,1.00,2.58,2.41,6.00,5.20,3.17,5.79
conservative,0.99,2.27,1.96,8.00,4.55,2.65,4.82
conservatory,1.00,2.43,4.24,12.00,5.18,3.65,5.74
conserve,0.99,2.32,1.96,10.00,5.90,3.75,5.86
consider,1.00,2.58,1.68,6.00,6.56,2.71,6.06
considerable,1.00,2.34,2.14,8.00,6.00,3.86,6.52
considerate,0.99,2.25,1.92,6.00,7.20,3.67,6.40
consideration,0.99,2.25,1.86,6.00,6.40,3.45,7.11
conspicuous,0.99,2.32,1.89,6.00,4.05,3.87,3.94
constant,1.00,2.34,2.04,6.00,5.90,2.81,6.36
constitutional,1.00,2.33,1.93,14.00,5.68,3.86,5.41
construct,0.99,2.24,2.60,4.00,5.40,4.33,5.36
construction,1.00,2.34,3.72,6.00,5.53,3.73,5.74
constructive,1.00,2.44,1.90,10.00,5.81,4.17,6.58
consul,0.78,0.78,3.36,12.00,4.39,3.41,6.52
consulate,0.96,1.74,3.60,12.00,4.53,2.50,4.68
consult,0.99,2.25,3.04,6.00,5.41,3.77,5.83
consultant,1.00,2.43,3.97,8.00,6.05,2.76,5.68
consultation,0.99,2.13,2.19,8.00,5.29,4.84,5.32
consume,0.99,2.25,3.41,8.00,5.48,4.00,6.18
consumer,0.99,2.31,3.57,8.00,5.95,3.82,5.21
consummate,0.97,1.83,2.08,13.00,6.10,3.95,5.59
consumption,1.00,2.44,3.16,10.00,4.65,3.76,6.00
contact,1.00,2.58,3.86,4.00,6.17,3.33,5.78
contagion,0.93,1.42,2.79,12.00,2.85,5.94,3.62
contagious,1.00,2.34,2.71,6.00,3.05,5.25,3.90
contain,0.99,2.12,2.74,4.00,5.00,3.00,5.68
container,0.99,2.32,4.85,4.00,5.70,3.57,6.00
contaminate,0.96,1.74,3.10,10.00,3.53,5.67,4.26
contamination,0.99,2.06,2.70,8.00,3.11,6.71,3.78
contemplate,1.00,2.43,1.71,10.00,5.48,3.16,5.68
contemporary,1.00,2.58,1.96,8.00,5.95,3.81,5.43
contempt,1.00,2.43,1.82,10.00,3.22,4.61,4.45
contend,0.99,2.10,2.07,12.00,5.37,4.33,5.28
content,1.00,2.33,2.59,6.00,6.70,3.17,5.92
contention,0.96,1.73,1.75,12.00,4.19,4.29,3.85
contentment,0.99,2.08,2.25,6.00,6.62,4.60,6.58
contents,0.99,2.26,3.65,4.00,5.79,4.46,5.76
contest,0.99,2.24,3.52,4.00,5.85,3.77,4.93
contestant,1.00,2.33,4.17,6.00,4.50,4.50,5.74
context,0.99,2.24,2.17,12.00,5.00,3.18,5.60
continent,0.99,2.25,4.34,4.00,6.05,3.24,5.16
continental,0.99,2.14,2.48,8.00,5.40,3.38,5.04
contingency,0.99,2.23,2.03,14.00,4.67,3.22,5.22
contingent,0.98,1.99,2.11,13.00,4.85,3.90,5.08
continuance,0.95,1.65,2.12,8.00,5.26,3.57,5.13
continuation,0.99,2.33,2.36,6.00,5.23,3.84,6.38
continue,1.00,2.58,2.36,4.00,5.61,2.90,6.17
continuity,0.99,2.18,2.03,12.00,5.71,2.32,6.44
continuous,1.00,2.44,2.11,4.00,5.33,3.27,5.77
continuum,0.94,1.55,2.36,12.00,5.15,3.95,5.36
contraband,0.98,1.95,3.33,12.00,3.58,5.81,4.61
contract,1.00,2.44,4.15,4.00,5.10,3.95,6.84
contraction,1.00,2.45,3.53,6.00,4.33,5.90,3.95
contractor,0.99,2.24,4.20,6.00,4.70,4.26,5.48
contradict,0.99,2.17,2.24,8.00,3.58,4.25,4.83
contradiction,0.99,2.28,2.11,8.00,3.79,5.00,5.21
contradictory,1.00,2.34,2.31,8.00,3.75,4.27,5.30
contraption,0.98,2.04,3.66,8.00,5.11,4.32,5.67
contrary,0.99,2.16,1.56,8.00,4.50,3.71,5.36
contrast,1.00,2.58,2.64,8.00,5.30,4.23,6.30
contribute,1.00,2.43,2.13,6.00,6.15,3.58,6.96
contribution,1.00,2.44,2.41,6.00,6.58,3.18,7.00
control,1.00,2.58,1.93,2.00,4.43,4.76,5.47
controller,0.99,2.32,4.33,8.00,4.43,4.08,6.16
controversial,1.00,2.58,1.53,8.00,4.73,6.26,4.71
controversy,0.99,2.22,2.29,8.00,3.21,6.09,3.75
contusion,0.91,1.34,4.04,14.00,3.90,5.95,4.35
conundrum,0.97,1.76,1.93,14.00,3.95,3.27,3.96
convene,0.95,1.63,2.79,12.00,5.00,4.05,6.00
convenience,0.99,2.24,2.04,8.00,7.14,3.50,5.50
convenient,0.99,2.16,1.85,8.00,7.15,3.48,5.08
convent,0.97,1.78,3.96,8.00,5.05,3.86,4.25
convention,1.00,2.43,3.28,6.00,5.00,3.67,4.65
conventional,1.00,2.43,1.50,12.00,5.47,3.77,5.68
converge,0.98,1.98,2.65,12.00,4.53,4.24,5.61
conversation,0.99,2.32,3.28,4.00,6.72,2.65,6.28
converse,0.99,2.17,2.85,8.00,5.37,4.25,6.05
conversion,1.00,2.33,2.46,10.00,5.59,4.79,5.29
convert,1.00,2.58,2.73,6.00,5.11,3.65,5.42
convertible,1.00,2.35,4.46,6.00,6.79,4.72,6.21
convey,0.98,2.01,1.72,12.00,5.10,3.83,5.10
convict,1.00,2.58,4.11,4.00,2.28,4.95,4.08
conviction,1.00,2.44,2.07,6.00,3.89,4.67,5.62
convince,1.00,2.33,1.85,4.00,5.45,4.39,6.44
convincing,0.99,2.11,1.85,6.00,5.60,4.21,6.82
convoy,0.99,2.24,3.54,12.00,5.40,3.87,5.54
cook,1.00,2.34,4.32,2.00,7.12,4.33,6.25
cookbook,0.99,2.17,4.90,4.00,6.45,3.45,5.95
cooker,0.98,1.98,4.22,10.00,5.52,3.00,5.67
cookie,1.00,2.35,5.00,2.00,7.32,4.70,6.10
cooking,0.99,2.32,4.19,2.00,6.77,4.19,7.27
cookout,0.91,1.29,4.25,2.00,7.11,4.86,6.30
cool,1.00,2.58,3.53,2.00,6.82,3.43,6.44
coolant,0.95,1.64,4.25,10.00,5.21,3.45,5.90
cooler,0.99,2.19,4.14,4.00,6.10,3.83,5.92
cooperate,0.99,2.20,1.87,4.00,6.39,3.83,6.18
cooperation,0.99,2.17,2.03,6.00,6.62,3.32,6.83
cooperative,0.99,2.17,2.50,6.00,6.62,3.43,6.72
coordinate,0.99,2.24,2.36,10.00,5.50,4.59,6.95
coordination,0.99,2.15,2.86,10.00,6.11,3.45,6.52
cop,1.00,2.35,4.30,2.00,4.50,4.90,2.83
cope,0.99,2.14,1.78,10.00,5.10,4.10,5.95
copier,0.97,1.86,4.72,6.00,4.95,3.17,6.16
copilot,0.95,1.61,4.59,4.00,5.79,4.10,4.45
copper,0.99,2.32,4.52,4.00,5.60,4.14,6.19
copy,1.00,2.58,3.90,2.00,5.22,3.15,4.67
copycat,0.98,1.99,3.65,2.00,3.33,4.62,4.67
copyright,0.99,2.32,3.04,10.00,4.43,2.96,5.50
coral,1.00,2.43,4.40,8.00,6.42,3.18,5.50
cord,0.99,2.17,4.63,2.00,5.38,4.20,5.47
cordial,0.99,2.06,2.08,8.00,6.39,3.10,5.40
corduroy,0.95,1.65,4.56,8.00,5.79,3.45,4.82
core,1.00,2.58,3.96,6.00,6.19,3.24,5.89
cork,0.99,2.10,4.86,2.00,4.93,3.92,4.70
corkscrew,1.00,2.44,4.85,4.00,5.26,3.76,4.96
corn,0.99,2.33,4.96,2.00,5.95,3.43,5.65
cornball,0.82,0.90,4.04,8.00,5.55,3.17,5.10
cornbread,1.00,2.44,4.79,2.00,6.47,3.50,6.08
corner,0.99,2.32,4.61,2.00,4.83,3.38,4.88
cornerstone,1.00,2.44,4.04,8.00,5.90,3.33,6.32
cornfield,0.99,2.07,4.96,2.00,5.05,3.73,5.32
corny,0.99,2.06,2.18,6.00,5.00,3.00,4.94
coronary,0.97,1.85,3.00,10.00,2.62,4.67,4.40
coronation,0.97,1.76,3.23,8.00,4.60,4.50,5.13
coroner,0.99,2.10,4.34,6.00,3.00,3.61,3.28
corporal,0.98,2.05,2.80,6.00,4.63,3.50,4.90
corporate,1.00,2.43,2.27,8.00,4.90,4.74,5.05
corporation,1.00,2.34,2.79,6.00,3.82,4.73,4.47
corporeal,0.82,0.89,3.19,13.00,4.00,3.50,4.42
corps,0.95,1.62,3.43,6.00,4.24,3.52,4.69
corpse,1.00,2.44,4.89,6.00,2.45,4.89,3.23
corral,0.92,1.41,4.54,6.00,4.50,3.71,5.35
correct,1.00,2.33,2.59,2.00,6.94,3.48,7.06
correction,1.00,2.58,3.00,6.00,4.05,4.37,6.05
corrective,1.00,2.58,2.52,2.00,4.95,4.05,5.16
correlation,0.99,2.07,2.04,12.00,5.09,3.23,5.25
correspond,0.99,2.17,2.27,8.00,5.75,3.48,6.76
correspondence,1.00,2.34,3.35,10.00,6.59,5.05,5.71
correspondent,0.99,2.24,3.44,6.00,5.32,3.55,5.29
corridor,0.98,2.03,4.72,6.00,4.76,3.53,5.35
corroborate,0.96,1.68,1.76,14.00,5.50,3.88,5.41
corrupt,0.99,2.24,2.03,10.00,3.00,5.98,3.70
corruption,1.00,2.42,2.39,12.00,3.00,4.86,3.63
corsage,0.93,1.42,4.38,8.00,6.30,3.40,5.55
corset,0.98,1.99,4.48,6.00,5.81,5.75,4.71
cortex,0.97,1.87,3.79,10.00,5.20,3.67,5.50
cortisone,0.94,1.49,3.65,13.00,4.42,3.39,5.06
cosmetic,0.99,2.31,2.96,6.00,5.09,4.87,5.74
cosmic,0.99,2.25,2.76,12.00,7.11,5.39,4.84
cosmopolitan,0.99,2.21,2.65,14.00,5.80,3.86,5.65
cosmos,0.99,2.24,3.19,12.00,6.50,4.27,4.14
cost,1.00,2.34,2.50,4.00,4.11,4.90,3.67
costly,0.99,2.33,2.07,6.00,3.00,4.08,4.68
costume,0.99,2.18,4.57,4.00,6.05,4.78,6.36
cot,0.97,1.79,4.67,4.00,5.37,2.95,5.07
cottage,1.00,2.43,4.85,2.00,6.63,2.95,6.08
cotton,1.00,2.58,4.97,2.00,6.05,2.48,6.24
couch,0.98,2.05,4.71,2.00,6.52,3.40,6.19
cougar,0.99,2.27,4.82,6.00,5.67,5.70,4.24
cough,1.00,2.43,4.36,4.00,3.57,4.50,4.25
council,0.99,2.13,2.73,6.00,5.00,3.86,5.21
councilman,0.95,1.56,4.26,12.00,4.19,3.26,5.12
counsel,0.97,1.88,2.48,10.00,5.48,2.86,5.19
counselor,0.96,1.72,4.24,6.00,5.71,3.45,4.91
count,0.99,2.21,3.00,2.00,5.89,2.30,5.17
countdown,0.99,2.18,3.30,6.00,5.64,6.47,4.76
counter,1.00,2.44,4.17,4.00,5.22,2.47,5.16
counteract,0.97,1.84,2.14,8.00,4.73,4.27,5.10
counterfeit,0.99,2.25,3.64,6.00,3.16,4.18,3.00
counterpart,1.00,2.44,2.63,13.00,5.38,3.40,5.57
counterpoint,0.99,2.25,2.38,14.00,5.24,4.40,5.53
countess,0.98,1.97,3.68,6.00,5.85,3.55,6.41
countless,1.00,2.35,1.72,8.00,4.80,4.22,4.14
country,1.00,2.43,4.17,2.00,6.14,3.71,6.35
countryside,0.99,2.19,4.48,4.00,6.94,2.70,5.80
county,1.00,2.34,4.04,6.00,5.18,3.40,7.00
coup,0.96,1.72,3.00,14.00,4.74,4.64,5.00
coupe,0.95,1.62,3.17,8.00,5.05,3.74,5.32
couple,0.99,2.19,3.93,2.00,7.11,4.95,5.61
coupling,0.99,2.18,3.29,6.00,5.40,4.61,5.68
coupon,1.00,2.43,4.79,4.00,6.30,4.22,5.54
courage,0.99,2.24,1.52,4.00,7.67,5.00,7.27
courageous,1.00,2.58,2.00,4.00,8.05,5.50,7.38
courier,0.99,2.06,4.58,8.00,5.50,3.67,5.79
court,0.99,2.30,4.31,4.00,3.52,4.43,3.94
courteous,0.99,2.23,1.97,6.00,7.05,3.95,7.26
courtesy,0.99,2.23,1.77,6.00,6.79,4.30,5.96
courthouse,0.99,2.18,4.86,6.00,4.61,4.20,3.50
courtroom,0.99,2.24,4.63,2.00,2.84,4.67,3.45
courtship,0.99,2.20,2.52,8.00,6.00,5.38,5.37
courtyard,0.99,2.27,4.57,8.00,5.53,3.43,5.05
cousin,0.99,2.19,3.70,2.00,6.11,2.60,5.28
cove,0.98,2.03,4.57,10.00,5.67,3.17,6.06
covenant,0.99,2.12,2.69,12.00,5.21,4.00,5.35
cover,1.00,2.44,4.23,2.00,5.59,3.76,5.78
coverage,1.00,2.43,2.70,12.00,5.77,3.19,5.96
covert,0.99,2.20,1.72,14.00,3.79,4.32,4.96
covet,0.96,1.71,1.93,13.00,4.48,4.04,5.00
cow,1.00,2.43,4.96,2.00,5.42,2.95,5.24
coward,1.00,2.43,2.93,4.00,2.42,4.09,4.09
cowardice,0.98,1.91,2.10,6.00,3.05,4.25,3.64
cowardly,0.99,2.25,1.96,4.00,2.85,5.14,3.85
cowboy,1.00,2.43,4.72,2.00,5.43,4.43,5.67
cowgirl,1.00,2.34,4.63,4.00,6.11,5.30,5.63
cowhand,0.82,0.89,4.29,4.00,4.65,3.33,5.44
coworker,0.99,2.13,4.28,8.00,5.00,3.57,4.55
coy,0.98,1.96,1.89,8.00,5.50,3.72,5.50
coyote,0.99,2.32,4.96,4.00,4.05,5.55,4.38
cozy,1.00,2.43,2.61,4.00,7.28,3.56,6.69
crab,0.99,2.23,4.90,4.00,5.81,4.13,4.52
crabby,0.97,1.81,2.12,4.00,3.16,6.00,5.09
crack,1.00,2.58,4.53,4.00,2.68,5.25,5.42
cracker,0.99,2.32,4.96,2.00,5.11,3.64,5.26
crackerjack,0.96,1.66,3.73,14.00,7.21,5.13,4.94
crackle,1.00,2.58,3.46,6.00,5.53,5.27,4.86
crackpot,0.97,1.79,3.26,6.00,3.38,5.10,4.05
cradle,0.99,2.07,4.93,2.00,6.10,3.67,4.86
craft,1.00,2.44,3.48,6.00,6.38,4.04,6.36
craftsman,1.00,2.58,4.00,6.00,6.71,4.11,6.23
crafty,0.99,2.27,2.45,10.00,5.73,5.04,6.29
cram,0.97,1.87,2.71,6.00,4.68,4.19,5.18
cramp,1.00,2.58,4.09,4.00,2.91,4.73,4.50
cranberry,1.00,2.34,4.96,2.00,6.36,3.64,5.74
cranial,0.95,1.62,3.50,10.00,5.37,4.62,4.83
cranium,0.98,1.95,4.50,10.00,5.81,3.55,5.15
crank,0.99,2.24,4.50,2.00,3.85,4.67,5.17
cranky,0.99,2.25,2.15,4.00,3.00,4.71,4.36
crash,0.99,2.32,3.79,2.00,2.90,4.55,3.30
crate,0.99,2.10,4.93,4.00,4.80,2.72,5.45
crater,0.98,2.04,4.61,4.00,5.15,4.84,4.79
crave,0.99,2.26,2.52,8.00,5.41,5.04,5.00
crawl,1.00,2.44,4.27,2.00,3.95,3.62,4.95
crayon,1.00,2.58,4.87,2.00,5.76,2.91,5.93
craze,1.00,2.42,2.04,10.00,5.33,6.45,5.22
crazed,0.99,2.25,2.33,13.00,3.50,6.25,4.06
crazy,1.00,2.33,2.37,4.00,5.14,5.90,4.19
creak,0.92,1.41,3.61,6.00,4.68,4.40,4.61
cream,0.99,2.33,4.83,2.00,6.56,3.80,6.11
creamer,0.98,1.92,4.66,4.00,5.47,2.81,6.09
creamy,0.99,2.25,3.62,6.00,6.48,3.12,6.06
crease,0.99,2.25,4.45,4.00,4.86,4.00,5.63
create,1.00,2.58,2.62,6.00,7.86,6.26,7.00
creation,1.00,2.33,2.15,6.00,6.85,5.35,6.38
creative,0.99,2.32,1.93,8.00,7.06,4.86,6.78
creator,1.00,2.44,3.07,6.00,6.45,4.89,6.12
creature,0.99,2.08,4.07,2.00,6.06,4.77,4.82
crew,0.99,2.26,4.36,4.00,5.83,3.38,5.00
crib,1.00,2.33,4.86,2.00,6.43,4.26,4.77
cricket,0.99,2.32,4.77,2.00,5.71,3.22,4.88
crime,0.99,2.17,3.03,2.00,1.95,5.68,3.31
criminal,1.00,2.58,3.48,4.00,2.11,4.49,4.09
crimp,0.93,1.47,4.00,12.00,4.95,3.41,4.37
crimson,0.99,2.23,4.00,8.00,5.67,4.52,5.04
cringe,0.99,2.18,3.34,12.00,3.24,5.85,3.57
cripple,0.99,2.16,3.78,2.00,2.47,4.05,2.61
crisis,1.00,2.58,2.33,6.00,2.05,6.29,3.77
crisp,0.99,2.15,3.69,2.00,5.23,3.95,6.14
critic,0.99,2.18,3.55,8.00,4.10,4.25,4.86
critical,1.00,2.44,2.14,8.00,3.95,4.95,4.22
criticism,1.00,2.43,2.07,6.00,3.84,5.95,4.17
criticize,0.99,2.18,2.03,6.00,2.41,5.27,4.70
critique,0.99,2.08,2.55,13.00,4.80,3.85,6.00
critter,0.99,2.17,4.19,6.00,5.40,4.05,4.43
croak,0.99,2.08,3.82,2.00,3.29,4.52,3.58
crock,0.97,1.84,3.56,8.00,5.10,4.32,5.58
crocodile,1.00,2.58,4.83,4.00,3.15,6.48,3.47
croissant,0.98,2.01,4.96,14.00,7.00,4.50,6.04
crook,1.00,2.43,3.79,2.00,2.86,4.62,3.82
crooked,1.00,2.35,3.79,4.00,3.17,4.18,3.18
crop,1.00,2.35,4.24,2.00,5.88,3.19,5.09
croquet,0.99,2.06,4.59,6.00,5.63,3.50,5.64
cross,1.00,2.44,4.44,2.00,5.67,3.05,4.00
crossbow,1.00,2.44,4.77,8.00,4.91,5.38,5.96
crosswalk,0.97,1.77,4.62,2.00,5.25,3.52,5.88
crossword,1.00,2.44,4.48,4.00,6.58,3.74,5.84
crotch,0.99,2.24,4.77,12.00,4.62,4.96,5.00
crouch,0.99,2.25,4.27,6.00,4.79,4.05,4.87
crow,1.00,2.58,4.93,2.00,4.32,3.55,5.40
crowbar,1.00,2.58,4.87,4.00,4.81,3.61,5.45
crowd,1.00,2.43,4.52,2.00,4.48,5.15,5.21
crowded,1.00,2.58,3.28,2.00,3.20,3.95,3.45
crown,0.99,2.32,4.81,2.00,6.00,4.52,5.62
crucial,0.99,2.24,2.08,12.00,5.16,4.14,4.91
crucifix,1.00,2.33,4.45,6.00,4.10,4.19,4.80
crucifixion,0.99,2.09,4.00,6.00,2.82,5.62,3.83
crucify,0.98,2.00,3.45,6.00,2.26,5.60,3.11
crude,1.00,2.33,1.96,6.00,3.24,4.51,3.35
cruel,1.00,2.58,2.11,2.00,2.73,5.07,4.78
cruelty,0.99,2.25,2.04,6.00,2.37,5.90,2.64
cruise,1.00,2.44,4.03,6.00,6.47,4.32,5.68
cruiser,0.99,2.12,3.78,6.00,5.32,2.90,5.70
crumb,0.99,2.32,4.80,2.00,5.14,2.95,4.62
crumble,1.00,2.34,4.04,2.00,4.25,4.00,4.14
crummy,0.97,1.78,2.57,10.00,3.90,4.26,4.38
crunch,1.00,2.34,3.36,2.00,4.79,4.17,5.00
crusade,0.99,2.24,2.78,6.00,4.24,6.20,4.71
crusader,0.99,2.26,3.63,6.00,5.63,5.09,4.63
crush,1.00,2.58,3.90,4.00,4.72,5.60,3.96
crust,0.99,2.24,4.59,2.00,5.76,3.62,5.96
crusty,0.99,2.18,4.14,6.00,4.29,3.17,4.75
crutch,1.00,2.44,4.50,2.00,3.64,3.67,4.08
cry,1.00,2.58,4.00,2.00,3.22,5.45,2.56
crybaby,0.96,1.68,3.29,4.00,2.95,5.05,3.21
crypt,0.98,2.05,4.75,12.00,2.67,4.13,4.00
cryptic,0.99,2.26,2.36,12.00,3.86,5.53,4.33
crystal,0.99,2.26,4.58,6.00,6.75,4.10,6.72
cub,0.99,2.07,4.67,2.00,6.71,3.95,4.24
cube,1.00,2.58,4.62,6.00,4.75,3.09,5.53
cubic,1.00,2.34,2.97,6.00,4.70,3.00,5.60
cubicle,1.00,2.43,4.83,12.00,3.80,3.05,3.86
cuckoo,0.95,1.61,4.42,4.00,4.79,4.57,4.53
cucumber,1.00,2.58,4.83,6.00,6.47,3.17,5.86
cuddle,1.00,2.34,3.83,6.00,7.60,3.83,6.65
cue,1.00,2.43,3.31,8.00,5.84,4.35,4.62
cuff,0.99,2.20,4.61,4.00,4.81,3.56,4.16
cuisine,1.00,2.44,3.70,13.00,6.88,4.51,5.75
culinary,0.99,2.32,2.96,14.00,6.33,4.50,5.85
culmination,0.98,1.95,1.96,12.00,5.85,3.43,5.20
culprit,0.99,2.14,3.39,10.00,2.90,5.54,3.82
cult,1.00,2.43,2.71,14.00,2.77,5.48,3.61
cultivate,1.00,2.44,3.14,6.00,5.73,3.81,6.23
cultural,1.00,2.58,2.10,10.00,6.90,4.55,5.41
culture,1.00,2.44,2.04,6.00,6.28,4.06,5.71
cunning,1.00,2.33,2.12,8.00,5.05,4.90,6.58
cup,1.00,2.33,5.00,2.00,5.94,2.60,5.28
cupboard,0.99,2.17,4.79,2.00,4.81,3.52,5.65
cupcake,1.00,2.58,5.00,4.00,6.90,4.22,5.85
curator,0.97,1.81,3.81,13.00,6.42,2.73,5.11
curb,0.99,2.16,4.68,4.00,4.65,3.59,5.47
curd,0.97,1.83,4.19,6.00,5.19,4.37,4.72
cure,1.00,2.58,2.41,4.00,7.81,4.50,5.45
curfew,0.99,2.25,2.73,6.00,4.14,4.00,5.00
curiosity,1.00,2.43,1.61,8.00,6.37,5.90,6.21
curious,1.00,2.43,1.75,6.00,6.58,5.74,6.88
curl,1.00,2.44,4.38,2.00,5.72,3.05,5.40
curling,1.00,2.42,4.04,12.00,5.00,4.43,5.47
currency,1.00,2.43,4.25,8.00,5.90,4.05,5.30
current,0.99,2.32,3.16,6.00,5.53,3.25,5.90
curriculum,0.99,2.33,3.23,10.00,5.30,3.56,4.08
curry,1.00,2.44,4.84,12.00,5.40,3.17,5.50
curse,0.99,2.26,2.39,4.00,2.90,5.20,5.15
curt,0.92,1.38,2.35,12.00,4.05,3.20,4.32
curve,1.00,2.44,4.41,4.00,5.81,4.52,5.14
curved,1.00,2.43,3.35,2.00,5.24,3.91,5.70
cushion,0.99,2.31,4.68,4.00,5.90,2.76,6.44
cuss,0.97,1.77,3.14,6.00,4.00,6.25,5.35
custard,0.99,2.26,4.85,8.00,5.45,3.50,5.96
custodian,0.99,2.23,4.64,4.00,3.79,2.67,4.45
custody,0.99,2.23,3.03,6.00,4.74,4.14,5.54
custom,1.00,2.43,2.68,6.00,5.29,4.00,5.56
customary,0.99,2.17,1.85,8.00,5.00,3.44,4.94
customer,1.00,2.58,3.82,4.00,5.86,3.40,6.16
cut,0.99,2.17,4.55,2.00,3.90,5.07,4.55
cute,1.00,2.43,2.76,2.00,7.56,5.05,6.02
cutie,1.00,2.34,2.89,6.00,7.43,4.62,5.44
